rx,tx,out_dir,in_dir,lamda
2,1,E,W,2
3,1,E,W,4
4,1,W,E,1
5,1,S,N,5
6,1,E,N,8
7,1,W,N,6
8,1,S,E,7
9,1,N,S,4
10,1,N,W,1
11,1,S,E,4
12,1,W,N,2
13,1,N,S,6
14,1,E,S,7
15,1,N,W,5
16,1,N,E,8
1,2,W,E,2
3,2,E,W,1
4,2,E,W,3
5,2,S,E,7
6,2,S,N,6
7,2,E,N,8
8,2,W,N,5
9,2,W,N,1
10,2,N,S,3
11,2,N,W,2
12,2,S,E,3
13,2,N,E,8
14,2,W,S,5
15,2,E,S,7
16,2,N,W,6
1,3,E,W,4
2,3,W,E,1
4,3,E,W,2
5,3,W,N,6
6,3,S,E,7
7,3,S,N,5
8,3,E,N,8
9,3,S,E,4
10,3,W,N,2
11,3,N,S,4
12,3,N,W,1
13,3,N,W,5
14,3,N,E,8
15,3,N,S,6
16,3,E,S,7
1,4,E,W,1
2,4,E,W,3
3,4,W,E,2
5,4,E,N,8
6,4,W,N,5
7,4,S,E,7
8,4,S,N,6
9,4,N,W,2
10,4,S,E,3
11,4,W,N,1
12,4,N,S,3
13,4,E,S,7
14,4,N,W,6
15,4,N,E,8
16,4,N,S,5
1,5,W,S,5
2,5,E,S,7
3,5,N,W,6
4,5,N,E,8
6,5,E,W,1
7,5,E,W,3
8,5,W,E,2
9,5,S,N,6
10,5,E,N,8
11,5,W,N,5
12,5,S,E,7
13,5,N,S,3
14,5,N,W,2
15,5,S,E,3
16,5,W,N,1
1,6,N,E,8
2,6,N,S,6
3,6,E,S,7
4,6,N,W,5
5,6,W,E,1
7,6,E,W,2
8,6,E,W,4
9,6,S,E,7
10,6,S,N,5
11,6,E,N,8
12,6,W,N,6
13,6,W,N,2
14,6,N,S,4
15,6,N,W,1
16,6,S,E,4
1,7,N,W,6
2,7,N,E,8
3,7,N,S,5
4,7,E,S,7
5,7,E,W,3
6,7,W,E,2
8,7,E,W,1
9,7,W,N,5
10,7,S,E,7
11,7,S,N,6
12,7,E,N,8
13,7,S,E,3
14,7,W,N,1
15,7,N,S,3
16,7,N,W,2
1,8,E,S,7
2,8,N,W,5
3,8,N,E,8
4,8,N,S,6
5,8,E,W,2
6,8,E,W,4
7,8,W,E,1
9,8,E,N,8
10,8,W,N,6
11,8,S,E,7
12,8,S,N,5
13,8,N,W,1
14,8,S,E,4
15,8,W,N,2
16,8,N,S,4
1,9,N,S,4
2,9,N,W,1
3,9,S,E,4
4,9,W,N,2
5,9,N,S,6
6,9,E,S,7
7,9,N,W,5
8,9,N,E,8
10,9,E,W,2
11,9,E,W,4
12,9,W,E,1
13,9,S,N,5
14,9,E,N,8
15,9,W,N,6
16,9,S,E,7
1,10,W,N,1
2,10,N,S,3
3,10,N,W,2
4,10,S,E,3
5,10,N,E,8
6,10,W,S,5
7,10,E,S,7
8,10,N,W,6
9,10,W,E,2
11,10,E,W,1
12,10,E,W,3
13,10,S,E,7
14,10,S,N,6
15,10,E,N,8
16,10,W,N,5
1,11,S,E,4
2,11,W,N,2
3,11,N,S,4
4,11,N,W,1
5,11,N,W,5
6,11,N,E,8
7,11,N,S,6
8,11,E,S,7
9,11,E,W,4
10,11,W,E,1
12,11,E,W,2
13,11,W,N,6
14,11,S,E,7
15,11,S,N,5
16,11,E,N,8
1,12,N,W,2
2,12,S,E,3
3,12,W,N,1
4,12,N,S,3
5,12,E,S,7
6,12,N,W,6
7,12,N,E,8
8,12,N,S,5
9,12,E,W,1
10,12,E,W,3
11,12,W,E,2
13,12,E,N,8
14,12,W,N,5
15,12,S,E,7
16,12,S,N,6
1,13,S,N,6
2,13,E,N,8
3,13,W,N,5
4,13,S,E,7
5,13,N,S,3
6,13,N,W,2
7,13,S,E,3
8,13,W,N,1
9,13,W,S,5
10,13,E,S,7
11,13,N,W,6
12,13,N,E,8
14,13,E,W,1
15,13,E,W,3
16,13,W,E,2
1,14,S,E,7
2,14,S,N,5
3,14,E,N,8
4,14,W,N,6
5,14,W,N,2
6,14,N,S,4
7,14,N,W,1
8,14,S,E,4
9,14,N,E,8
10,14,N,S,6
11,14,E,S,7
12,14,N,W,5
13,14,W,E,1
15,14,E,W,2
16,14,E,W,4
1,15,W,N,5
2,15,S,E,7
3,15,S,N,6
4,15,E,N,8
5,15,S,E,3
6,15,W,N,1
7,15,N,S,3
8,15,N,W,2
9,15,N,W,6
10,15,N,E,8
11,15,N,S,5
12,15,E,S,7
13,15,E,W,3
14,15,W,E,2
16,15,E,W,1
1,16,E,N,8
2,16,W,N,6
3,16,S,E,7
4,16,S,N,5
5,16,N,W,1
6,16,S,E,4
7,16,W,N,2
8,16,N,S,4
9,16,E,S,7
10,16,N,W,5
11,16,N,E,8
12,16,N,S,6
13,16,E,W,2
14,16,E,W,4
15,16,W,E,1
